station,name,rows,cols,lat,lon
72525404851,DEFIANCE AIRPORT- OH US,2626,4409,41.3357,275.5715
99826799999,ROCHESTER- NY US,2665,4518,43.2666666,282.38333339999997
72532604894,STERLING ROCK FALLS WHITESIDE CO JOSH BITTORF FIELD AIRPORT- IL US,2634,4325,41.74278,270.32389
41992099999,COXS BAZAR- BG,2229,1471,21.452194,91.963889
38439099999,SHARDARA- KZ,2627,1088,41.3666666,68.0
03966099999,GURTEEN- EI,2860,5632,53.0166666,352.0
99726099999,9075014 HARBOR BEACH MI- US,2676,4438,43.85,277.36
15310099999,GALATI- RO,2709,449,45.4833333,28.0333333
72409514792,TRENTON MERCER AIRPORT- NJ US,2605,4563,40.27681,285.18413
59102099999,XUNWU- CH,2298,1850,24.95,115.65
71607099999,ST.STEPHEN AUT- CA,2704,4684,45.2166666,292.75
63980099999,SEYCHELLES INTERNATIONAL- SE,1706,888,-4.674342,55.521839
31735099999,NOVY- RS,2770,2163,48.528044,135.188361
06712099999,AIGLE- SZ,2726,111,46.3333333,6.9166666
71985099999,TUKTOYAKTUK NWT- CA,3188,3632,69.4333333,226.9833334
72425003860,HUNTINGTON TRI STATE AIRPORT- WV US,2567,4439,38.36531,277.4452
48404099999,ROI ET AGROMET- TH,2121,1658,16.0666666,103.6166666
48551099999,SURAT THANI- TH,1982,1586,9.132603,99.135586
57290099999,ZHUMADIAN- CH,2458,1823,32.9333333,113.9166666
72657594960,MINNEAPOLIS CRYSTAL AIRPORT- MN US,2701,4266,45.06222,266.64893
87648099999,DOLORES AIRPORT- AR,1072,4836,-36.35,302.2666667
40645099999,RAMADI- IZ,2468,693,33.45,43.3166666
85364099999,CAPITAN ORIEL LEA PLAZA- BL,1368,4725,-21.555736,295.298675
97086099999,BUBUNG- ID,1779,1964,-1.038919,122.771906
72649804925,FAIRFIELD MUNICIPAL AIRPORT- IA US,2621,4288,41.05306,268.02111
78647599999,QUEZALTENANGO- GT,2097,4296,14.86555,268.498019
72635594871,BENTON HARBOR- MI US,2642,4377,42.12894,273.58482
47789099999,HIROSHIMA- JA,2488,2127,34.436111,132.919444
62016099999,MISURATA- LY,2444,240,32.2425,15.0211111
76593099999,PROGRESO YUC.- MX,2225,4326,21.3,270.35
86134099999,TENIENTE COL CARMELO PERALTA- PA,1331,4841,-23.44175,302.572878
71215099999,OSOYOOS CS BC- CA,2780,3849,49.0333333,240.56666669999998
48377099999,BHUMIBOL DAM- TH,2144,1585,17.2333333,99.05
A0003103725,PETERSBURG GRANT CO AIRPORT- WV US,2579,4494,38.99417,280.85582999999997
76750399999,CABO SAN LUCAS- MX,2258,4001,22.94845,250.061267
23256099999,TAZOVSKIJ- RS,3149,1260,67.4666666,78.7333333
02604099999,HALMSTAD- SW,2933,205,56.691128,12.820211
02081099999,KARESUANDO- SW,3168,359,68.45,22.45
02449099999,ESKILSTUNA A- SW,2987,263,59.3833333,16.45
54161199999,TAIPING- CH,2712,2020,45.623403,126.250328
48042099999,MANDALAY- BM,2239,1538,21.9833333,96.1
47406099999,RUMOI- JA,2678,2266,43.95,141.6333333
71081099999,HALL BEACH- CA,3175,4460,68.776111,278.756389
94517099999,ST GEORGE AIRPORT- AS,1238,2378,-28.05,148.6
99819499999,NEW CANAL- LA US,2400,4318,30.0166666,269.88333339999997
72687600387,GRANT CO REGIONAL AIRPORT OGILVIE FIELD- OR US,2687,3857,44.4,241.03300000000002
03041099999,AONACH MOR- UK,2936,5681,56.8166666,355.0333334
60769099999,ZARZIS- TS,2477,172,33.875031,10.775461
44203099999,RINCHINLHUMBE- MG,2822,1595,51.1166666,99.6666666
02518099999,NIDINGEN- SW,2945,190,57.3,11.9
94620099999,DWELLINGUP- AS,1145,1857,-32.7166666,116.05
87395099999,COMODORO PIERRESTEGUI- AR,1174,4832,-31.296944,302.003369
99780199999,LONGVIEW- WA US,2721,3793,46.1,237.05
16716099999,ATHINAI- GR,2557,380,37.882236,23.734831
02759099999,PORVOO HARABACKA- FI,3007,410,60.4,25.6
47035099999,SINUIJU- KN,2601,1990,40.1,124.3833333
70291346402,NABESNA DEVILS MOUNTAIN LODGE AIRPORT- AK US,3048,3472,62.40167,217.00472
72640404865,LAKELAND NOBLE LEE MEMORIAL FIELD AIRPORT- WI US,2718,4324,45.92778,270.26917000000003
27675099999,PORETSKOE- RS,2903,741,55.1833333,46.3333333
17507099999,YESILIRMAK- CY,2503,524,35.1666666,32.7333333
72035503732,CUMBERLAND- MD US,2591,4500,39.6,281.23333
72423513810,LOUISVILLE BOWMAN FIELD- KY US,2564,4389,38.23021,274.33706
72639514808,OSCODA WURTSMITH AIRPORT- MI US,2688,4426,44.45,276.6
95573099999,IGLEVOOD FOREST- AS,1232,2415,-28.35,150.95
26832099999,LIDA- BO,2878,405,53.9022222,25.3166666
